,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
22,7190,37.0,4.9,Fog,Low,1,Buffet,scooter,1.0,No,Urban,16,2.7480376785787097
23,34255,35.0,4.9,Cloudy,Medium,0,Snack,motorcycle,0.0,No,Urban,28,16.293861663507453
24,40615,20.0,4.6,Windy,Low,2,Snack,electric_scooter,0.0,No,Urban,14,2.830560695427386
25,5755,36.0,4.1,Sandstorms,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,43,17.627779620967406
26,11306,22.0,4.7,Fog,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,27,10.050527201959326
27,44842,37.0,5.0,Stormy,Low,2,Drinks,motorcycle,1.0,No,Urban,27,2.507863776783761
28,6546,21.0,4.6,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,17,16.486191898329867
29,41102,36.0,4.7,Stormy,Jam,2,Buffet,electric_scooter,0.0,No,Metropolitian,29,14.152800689506924
30,18988,22.0,4.7,Sandstorms,Jam,2,Snack,scooter,1.0,No,Metropolitian,21,16.983359290708307
31,40841,21.0,4.6,Windy,Jam,1,Snack,scooter,,No,Metropolitian,22,28.556720397838944
32,19399,21.0,4.9,Cloudy,Jam,2,Buffet,motorcycle,2.0,No,Urban,41,21.6058244186394
33,1851,36.0,4.3,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,31,12.007005963428615
34,30437,26.0,4.8,Sunny,High,2,Snack,electric_scooter,0.0,No,Metropolitian,14,9.606125585180092
35,40448,27.0,4.7,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,26,17.62774564035643
36,4290,23.0,4.6,Fog,Low,1,Snack,scooter,0.0,No,Urban,18,8.152526382167792
37,34626,20.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Urban,26,19.09518789542251
38,21184,38.0,4.8,Stormy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,47,10.388261499439617
39,29256,,,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,13,5.661121254147949
40,2667,33.0,5.0,Stormy,Low,1,Snack,scooter,0.0,No,Urban,29,13.029706637883006
41,1959,20.0,4.3,Fog,Jam,2,Buffet,scooter,1.0,No,Metropolitian,34,23.353956545437754
42,9179,30.0,4.3,Cloudy,Low,0,Meal,motorcycle,1.0,No,Urban,38,33.88188367310256
43,40682,29.0,4.4,Fog,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,42,23.678086819418812
44,20259,25.0,4.1,Sandstorms,Low,0,Meal,motorcycle,,No,Metropolitian,17,5.523098202625428
45,38126,20.0,4.5,Stormy,Jam,0,Drinks,motorcycle,0.0,No,Urban,27,23.673366081398306
46,2921,21.0,4.8,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,17,24.446026569010712
47,40962,,,,,3,Buffet,electric_scooter,1.0,No,Metropolitian,24,25.475029507646852
48,17210,37.0,4.7,Fog,High,2,Snack,motorcycle,1.0,No,Metropolitian,34,10.525549294211912
49,45193,24.0,4.8,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Urban,22,9.605481747859896
50,2271,24.0,4.5,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Urban,13,32.38856594281898
51,2206,30.0,5.0,Sandstorms,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,28,8.009902026686383
52,22562,33.0,4.7,Windy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,23,2.4019217983099135
53,22297,38.0,4.8,Sunny,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,20,9.605597864253246
54,11419,37.0,4.9,Cloudy,Medium,2,Meal,motorcycle,2.0,No,Urban,36,23.45417880493778
55,41009,20.0,4.6,Stormy,High,2,Snack,electric_scooter,1.0,No,Metropolitian,25,2.5974035103371773
56,8228,29.0,4.2,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,15,2.5463334827889548
57,18763,22.0,4.9,Cloudy,Low,2,Snack,scooter,1.0,No,Metropolitian,22,30.37036068170715
58,3380,36.0,4.8,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,25,35.295758739902574
59,6757,27.0,4.6,Cloudy,Low,2,Drinks,motorcycle,1.0,No,Urban,10,5.191351646105371
60,41696,36.0,4.9,Windy,Medium,0,Buffet,motorcycle,2.0,No,Urban,34,9.96851699200303
61,15137,36.0,4.5,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,26,11.047200547997043
62,37796,33.0,4.7,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,25,10.184981083603924
63,8460,31.0,4.7,Cloudy,High,1,Snack,scooter,0.0,No,Metropolitian,29,9.611909342619402
64,9075,31.0,4.9,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,37,35.44761765059164
65,29151,37.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,No,Urban,15,14.954873382962496
66,5299,30.0,4.6,Windy,Low,1,Drinks,motorcycle,0.0,No,Urban,26,19.20630659987402
67,25288,23.0,4.6,Sunny,High,2,Drinks,motorcycle,0.0,No,Urban,16,10.91002141582066
68,39202,25.0,4.1,Cloudy,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,31,22.661783613913872
69,16414,37.0,4.4,Sandstorms,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,31,15.787046051936043
70,19388,34.0,4.7,Stormy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,34,5.09242679117893
71,13928,31.0,4.7,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,39,9.969043825527196
72,5046,33.0,4.8,Fog,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,35,23.678740026836703
73,23399,28.0,4.9,Stormy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,25,16.364668403511057
74,31695,,,,,1,Buffet,motorcycle,0.0,No,Metropolitian,16,7.525411670007256
75,2810,37.0,4.3,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,35,23.675288453199435
76,41559,26.0,4.6,Sunny,Low,0,Buffet,motorcycle,0.0,No,Urban,12,2.518996164488428
77,24559,28.0,4.6,Sandstorms,Medium,2,Drinks,scooter,1.0,No,Urban,26,7.474936194349078
78,31399,39.0,5.0,Sandstorms,High,0,Drinks,motorcycle,1.0,No,Metropolitian,49,10.866725110600276
79,21824,32.0,4.7,Windy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,29,27.44312200757832
80,10566,36.0,4.5,Sandstorms,Low,0,Snack,motorcycle,0.0,No,Metropolitian,26,21.04862186356977
81,40202,30.0,3.9,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,41,17.44528568999849
82,23008,25.0,5.0,Fog,Jam,1,Meal,scooter,2.0,No,Metropolitian,36,27.695363557441265
83,31725,24.0,5.0,Sandstorms,Jam,1,Drinks,scooter,1.0,No,Metropolitian,24,7.525238229884342
84,29349,21.0,4.9,Sunny,Medium,2,Meal,motorcycle,1.0,No,Urban,11,29.87743360316183
85,37405,23.0,4.7,Sandstorms,Jam,1,Drinks,scooter,1.0,No,Metropolitian,24,35.295758739902574
86,8908,,,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,19,17.627355112281958
87,34020,36.0,4.8,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,28,12.194975847591646
88,44573,38.0,5.0,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,44,19.09222488955942
89,26005,32.0,4.8,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28,7.820061634537084
90,20432,36.0,4.9,Cloudy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,15,10.909971730056128
91,24492,38.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,30,10.990243293468287
92,19054,22.0,4.9,Stormy,Low,2,Buffet,scooter,,,Urban,11,8.181360405047956
93,5965,38.0,4.8,Sunny,Medium,0,Snack,motorcycle,,No,Metropolitian,39,25.475029507646852
94,6801,38.0,4.3,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,36,32.59318686880032
95,11904,30.0,5.0,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,23,7.787366478905957
96,10254,26.0,4.5,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,20,14.416838441146927
97,16272,33.0,4.7,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,19,9.606359685775377
98,24232,38.0,4.7,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,39,33.088372340583945
99,16483,31.0,4.8,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,30,24.539702726240616
100,15574,,,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,38,17.55160250748328
101,9405,35.0,4.6,Sunny,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,21,14.95205672724739
102,30446,39.0,4.6,Sunny,Low,1,Drinks,scooter,1.0,No,Metropolitian,22,19.813917054109016
103,2448,30.0,4.3,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,27,2.7168811991619783
104,2885,25.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,28,5.017130674270906
105,35027,26.0,5.0,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,27,32.59380764723637
106,5402,22.0,4.9,Cloudy,Jam,0,Snack,motorcycle,2.0,No,Semi-Urban,46,27.576841551762836
107,7515,25.0,4.6,Cloudy,Low,2,Buffet,scooter,0.0,No,Metropolitian,22,28.006112864470136
108,14945,35.0,4.9,Sunny,Jam,2,Meal,scooter,0.0,No,Metropolitian,21,13.035158917062237
109,41629,27.0,4.6,Windy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,24,25.475029507646852
110,37802,36.0,4.8,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Urban,34,20.675483712050298
111,25699,38.0,4.8,Cloudy,High,2,Snack,electric_scooter,1.0,No,Metropolitian,30,9.96851699200303
112,36778,,,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,22,16.30353594468309
113,29718,24.0,4.9,Cloudy,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,41,20.76178775844989
114,43388,36.0,4.8,Cloudy,Jam,2,Meal,motorcycle,1.0,Yes,Metropolitian,49,19.09154678582127
115,6127,29.0,4.8,Sandstorms,Medium,1,Buffet,motorcycle,1.0,No,Urban,26,21.736722919077625
116,36373,26.0,4.5,Windy,Low,2,Drinks,motorcycle,0.0,,Urban,11,2.508560311601386
117,25285,31.0,4.7,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,47,12.005927374551359
118,20935,21.0,4.8,Sunny,Medium,1,Buffet,motorcycle,1.0,,,12,21.61184638428475
119,8165,24.0,4.9,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,37,35.898175380955344
120,7958,21.0,4.9,Sandstorms,Low,2,Snack,scooter,1.0,No,Urban,19,17.627518294488194
121,1125,22.0,4.5,Cloudy,High,2,Buffet,scooter,1.0,No,Urban,25,11.322241389964427
122,30864,22.0,4.7,Sunny,Medium,2,Buffet,scooter,1.0,No,Metropolitian,17,8.150452965432166
123,31231,20.0,4.5,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,5.212549914449603
124,23740,39.0,4.6,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,24,15.274395801873114
125,20776,39.0,4.6,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,26,18.24919181325413
126,620,24.0,4.2,Cloudy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,35,35.30680615245143
127,36169,33.0,4.8,Sunny,Low,0,Meal,motorcycle,1.0,No,Urban,24,16.983359290708307
128,15251,23.0,4.6,Fog,Medium,2,Drinks,scooter,0.0,No,Metropolitian,12,8.183061552298792
129,13592,27.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,28,7.206077048385942
130,24938,37.0,4.8,Sunny,High,2,Meal,motorcycle,1.0,No,Metropolitian,21,2.7277476372857743
131,899,38.0,4.1,Fog,Medium,1,Buffet,motorcycle,2.0,No,Metropolitian,36,18.25133439635535
132,18444,21.0,4.2,Sandstorms,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,35,16.76160776521588
133,23250,34.0,4.7,Sandstorms,Low,2,Snack,scooter,1.0,No,Urban,28,28.92416874707629
134,38617,22.0,5.0,Sandstorms,Medium,2,Snack,scooter,1.0,No,Metropolitian,27,10.99371609111829
135,12333,25.0,4.6,Sunny,Medium,1,Meal,scooter,1.0,No,Metropolitian,14,14.406252736946001
136,16235,31.0,4.1,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,41,24.855398925154372
137,28294,33.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Urban,25,21.819865886494306
138,24280,33.0,4.6,Windy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,25,2.7158015320707647
139,22389,37.0,4.8,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,28,16.363844757764657
140,38258,,,,,1,Meal,scooter,1.0,No,Metropolitian,30,9.970921285821962
141,20140,20.0,4.7,Windy,Jam,1,Drinks,motorcycle,0.0,No,Urban,12,7.8205083103985755
142,20310,22.0,5.0,Cloudy,Medium,1,Meal,motorcycle,0.0,No,Urban,31,26.821834850103865
143,29782,24.0,5.0,Cloudy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,25,10.376893230215444
144,37274,21.0,4.5,Fog,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,18,8.242735135528282
145,11385,37.0,4.6,Stormy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,41,13.737362850407093
146,45130,31.0,4.7,Sandstorms,High,2,Buffet,motorcycle,0.0,No,Urban,30,10.030620308340893
147,20999,38.0,4.1,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,13.035639031234563
148,34057,27.0,4.8,Windy,High,1,Snack,scooter,1.0,No,Urban,18,9.605424625934983
149,33760,34.0,4.4,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,47,22.092912579401105
150,11717,39.0,4.3,Stormy,Jam,0,Snack,motorcycle,3.0,Yes,Metropolitian,52,30.217348920801825
151,15872,37.0,4.4,Sandstorms,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,31,7.638380008367795
152,13755,33.0,4.7,Cloudy,High,1,Drinks,scooter,1.0,No,Metropolitian,38,10.863252970445204
153,28792,36.0,4.7,Stormy,Jam,2,Meal,scooter,0.0,No,Metropolitian,25,16.485595924234023
154,2561,20.0,4.8,Stormy,Low,2,Buffet,scooter,1.0,No,Metropolitian,18,22.644473839635083
155,11072,38.0,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,33,7.822231674740412
156,19554,39.0,4.7,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,25,25.42570285775719
157,27266,26.0,4.6,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,43,22.908307939621043
158,2857,,,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,24,22.9089944200629
159,34195,24.0,4.6,Windy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,17,24.542332852314853
160,31129,36.0,4.6,Sandstorms,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,22,20.850241771524697
161,41068,34.0,4.7,Sunny,Low,0,Snack,motorcycle,1.0,No,Urban,22,32.72726232818475
162,19936,20.0,4.8,Fog,Medium,2,Drinks,scooter,0.0,No,Urban,12,13.737372300650248
163,36192,29.0,4.8,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,35,29.996328327194465
164,2190,30.0,4.7,Sandstorms,Jam,2,Drinks,scooter,0.0,No,Metropolitian,29,7.731140967629768
165,36916,26.0,4.9,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,10,5.037265024990162
166,5987,29.0,4.6,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,34,26.39214764842998
167,27921,28.0,4.6,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,18,16.80839446810417
168,25242,35.0,5.0,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,25,27.57708439475317
169,41372,27.0,4.9,Windy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,12,28.336940464609807
170,31713,31.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,1.0,No,Urban,22,5.4322154050585985
171,45165,39.0,4.6,Sandstorms,Medium,1,Meal,scooter,1.0,No,Metropolitian,30,10.676250488599614
172,19389,30.0,3.6,Sandstorms,Jam,2,Snack,scooter,2.0,No,Metropolitian,37,22.42702538008572
173,30120,22.0,4.6,Windy,Low,2,Snack,electric_scooter,1.0,No,Urban,11,15.642831050508166
174,44199,20.0,5.0,Cloudy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,28,29.86201560132564
175,38056,33.0,4.6,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,38,27.41533187837998
176,37250,25.0,4.9,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,28,33.71163065264655
177,16895,34.0,4.7,Sunny,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,19,8.150583767213647
178,2876,24.0,4.8,Sunny,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,19,5.661121254147949
179,24780,32.0,4.9,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Urban,25,22.423501336783467
180,8067,30.0,5.0,Fog,Medium,2,Buffet,scooter,1.0,No,Metropolitian,19,10.42690004989914
181,33747,36.0,4.7,Cloudy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,51,19.813917054109016
182,15327,26.0,4.2,Fog,High,1,Drinks,scooter,1.0,No,Metropolitian,31,10.184180966404128
183,11525,,,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,29,7.48729283089784
184,5649,24.0,4.9,Sunny,Low,2,Buffet,scooter,0.0,No,Metropolitian,17,12.731110999870785
185,14867,39.0,4.7,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,28,16.81103830171423
186,8995,35.0,4.7,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,30,15.579782989721638
187,19100,32.0,4.8,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,24,33.088372340583945
188,3351,32.0,4.6,Cloudy,Medium,2,Snack,electric_scooter,0.0,No,Metropolitian,15,15.789249873477013
189,8669,30.0,3.6,Stormy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,43,20.0556808512398
190,12359,22.0,5.0,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,42,19.333448950704245
191,1697,30.0,4.7,Fog,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,15,9.606363015193912
192,23232,27.0,4.0,Stormy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,15,8.49168153096395
193,12844,30.0,4.7,Windy,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,17,35.90184403924155
194,20740,23.0,4.9,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,10,16.983359290708307
195,40823,21.0,4.8,Sunny,Jam,2,Buffet,scooter,0.0,No,Urban,11,12.025034897594754
196,43978,25.0,4.1,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,21,5.43389129106874
197,45437,35.0,4.2,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,42,35.44940658811379
198,26627,26.0,4.8,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,21,13.156624047516994
199,37882,28.0,4.1,Fog,Jam,2,Buffet,scooter,0.0,No,Metropolitian,39,18.161718358089953
200,27764,36.0,4.6,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,33,22.432991717424837
201,16907,34.0,4.9,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,44,19.001533715912796
202,15458,22.0,4.9,Stormy,Low,2,Snack,scooter,1.0,No,,14,15.642795236528672
203,19803,32.0,4.4,Windy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,34,13.737372300650248
204,37564,21.0,4.5,Stormy,Jam,2,Meal,scooter,1.0,No,Urban,25,28.50245339655293
205,4278,,,Fog,Low,2,Buffet,motorcycle,0.0,No,Urban,11,13.153135906877647
206,39267,32.0,4.7,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,31,8.242689710841198
207,31022,37.0,4.9,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,24,11.490540318829568
208,31244,,,Fog,Jam,1,Snack,motorcycle,1.0,No,Urban,31,7.317992098266561
209,44021,30.0,4.1,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,32,29.878489048566244
210,3721,24.0,4.5,Sandstorms,High,2,Snack,scooter,0.0,No,Metropolitian,25,2.491455969960529
211,11819,24.0,4.9,Sunny,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,22,33.60400872422516
212,7837,20.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,20,33.09408897999875
213,17324,37.0,4.6,Windy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,30,15.276750861054413
214,36215,32.0,4.7,Sandstorms,Low,2,Snack,motorcycle,1.0,No,Metropolitian,28,2.519048888183513
215,31911,22.0,4.9,Windy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,19,33.87673476915438
216,14762,30.0,4.1,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,49,23.671666485722184
217,41921,38.0,4.0,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,33,8.150615755621597
218,5073,22.0,4.7,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20.752112968742136
219,14201,28.0,4.6,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,48,18.158892341305595
220,28144,39.0,4.6,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,28,27.576841551762836
221,6640,33.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,31,2.298612256464017
222,43452,35.0,4.7,Stormy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,26,16.021709267443228
223,19923,20.0,4.9,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,28,24.732574042610253
224,21116,35.0,4.9,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,45,17.551394775068072
225,2237,30.0,4.7,Cloudy,Low,1,Meal,scooter,1.0,No,Metropolitian,16,7.640915672889902
226,27548,30.0,4.5,Cloudy,Low,2,Drinks,scooter,0.0,No,Metropolitian,32,35.44581353091505
227,21391,31.0,4.0,Cloudy,High,0,Meal,motorcycle,0.0,No,Metropolitian,32,10.307677270061467
228,33074,24.0,4.8,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Urban,14,35.30680615245143
229,20980,28.0,4.9,Windy,Low,2,Drinks,electric_scooter,0.0,No,,17,33.671919712799756
230,41579,39.0,4.7,Sunny,High,0,Buffet,motorcycle,1.0,No,Metropolitian,21,10.990020370140648
231,30518,37.0,4.7,Stormy,Medium,1,Snack,scooter,1.0,No,Urban,24,29.9959245193291
232,9831,38.0,5.0,Fog,Medium,2,Snack,motorcycle,2.0,No,Metropolitian,41,16.8187331170243
233,19421,37.0,4.3,Stormy,Medium,0,Meal,motorcycle,1.0,No,Urban,33,9.605210287772435
234,42841,23.0,4.6,Sunny,Medium,2,Buffet,scooter,0.0,No,Urban,15,21.815543375813018
235,35642,37.0,4.8,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,15.57269843657773
236,22925,27.0,5.0,Fog,Medium,1,Meal,scooter,1.0,No,Metropolitian,35,34.196715971475264
237,24898,25.0,4.2,Fog,Jam,2,Drinks,scooter,1.0,No,Metropolitian,33,20.837112424238008
238,6308,21.0,4.9,Windy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,21,25.475029507646852
239,34704,25.0,4.7,Sandstorms,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,19,8.49168153096395
240,21060,24.0,4.5,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Urban,10,13.156624047516994
241,3031,21.0,4.4,Fog,Jam,1,Snack,motorcycle,1.0,Yes,Metropolitian,40,29.86461940652693
242,493,22.0,4.7,Fog,Medium,0,Snack,motorcycle,3.0,No,Metropolitian,44,22.661783613913872
243,12593,35.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,43,19.937270907852223
244,27426,23.0,4.7,Fog,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,21,21.607920291470343
245,27965,38.0,4.8,Sunny,Medium,1,Buffet,scooter,1.0,No,Metropolitian,15,13.583483739481235
246,22949,34.0,4.7,Stormy,Low,2,Meal,scooter,1.0,No,Urban,19,17.825484343595097
247,42913,27.0,4.8,Sunny,High,1,Meal,motorcycle,1.0,No,Metropolitian,14,5.661121254147949
